author_id,username,name,description,followers_count,following_count,tweet_count,created_at,party,start,end
75005687,StephanThomae,Stephan Thomae,Mitglied des Deutschen Bundestages. Parlamentarischer Geschäftsführer der FDP-Bundestagsfraktion,4115,953,2626,2009-09-17 12:59:49+00:00,FDP,2017-10-24 00:00:00,2021-10-26 00:00:00
74837812,LINKEPELLI,MdB Sören Pellmann,Mitglied des Bundestages in #LeipzigSüd direkt gewählt | Ostbeauftragter & Sprecher #Inklusion & #Teilhabe bei @linksfraktion | Vorsitzender @LinksfraktionLe,8150,1557,10474,2009-09-16 21:05:18+00:00,The Left Party,2017-10-24 00:00:00,2021-10-26 00:00:00
68920005,MartinaRenner,Martina Renner,Stellv. Parteivorsitzende und MdB die LINKE,28309,1012,10606,2009-08-26 07:01:12+00:00,The Left Party,2017-10-24 00:00:00,2021-10-26 00:00:00
68172699,UlrichLange,Ulrich Lange,Mitglied des Deutschen Bundestags @csu_bt | Stellvertretender Fraktionsvorsitzender @cducsubt | Verkehrs- und Baupolitik | Wohnen und Mobilität,620,206,87,2009-08-23 15:58:29+00:00,CDU/CSU,2017-10-24 00:00:00,2021-10-26 00:00:00
65413134,ninawarken,Nina Warken,"MdB, Parlamentarische Geschäftsführerin @cducsubt, Vorsitzende BFA Innere Sicherheit @cdu",1662,738,1859,2009-08-13 17:14:41+00:00,CDU/CSU,2018-12-05 00:00:00,2021-10-26 00:00:00
64994645,ernst_klaus,Klaus Ernst,Vorsitzender des Ausschusses für Klimaschutz und Energie im @Bundestag. Mitglied der @Linksfraktion. Tweets von Klaus und Team.,10204,531,1692,2009-08-12 09:54:42+00:00,The Left Party,2017-10-24 00:00:00,2021-10-26 00:00:00
64220313,zierke,Stefan Zierke,Direkt gewählter SPD Bundestagsabgeordneter für den Wahlkreis Uckermark Barnim I (057) | Tourismuspolitischer Sprecher der @spdbt,1543,380,320,2009-08-09 18:09:53+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
64159881,CPetryMdB,Christian Petry,Generalsekretär der @SPD_Saar / Mitglied des Deutschen Bundestages für den Wahlkreis St. Wendel / Europapolitischer Sprecher der @spdbt,1769,889,8011,2009-08-09 11:46:17+00:00,SPD,2017-10-24 00:00:00,2021-10-26 00:00:00
58429842,olavgutting,Olav Gutting,"Volksvertreter, Rechtsanwalt",3298,534,9090,2009-07-20 09:03:25+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
56806603,ThomasHeilmann,Thomas Heilmann MdB,"MdB für Steglitz-Zehlendorf, Vors. der KlimaUnion, Justizsenator a.D., Digitalpolitiker, Unternehmer, Autor vom #NEUSTAAT, CDU | Team kommentiert mit /TTH 🇺🇦",2569,760,825,2009-07-14 20:30:19+00:00,CDU,2017-10-24 00:00:00,2021-10-26 00:00:00
